cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age,concrete_compressive_strength
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,7,11.96
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,100,33.56
321.0,164.0,0.0,190.0,5.0,870.0,774.0,28,57.21
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
154.8,0.0,142.8,193.3,9.1,877.2,867.7,28,9.74
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28,37.44
277.0,0.0,0.0,191.0,0.0,968.0,856.0,180,32.33
339.0,0.0,0.0,197.0,0.0,968.0,781.0,365,38.89
150.0,236.8,0.0,173.8,11.9,1069.3,674.8,28,37.43
166.8,250.2,0.0,203.5,0.0,975.6,692.6,90,43.57
151.0,0.0,185.0,167.0,16.0,1074.0,678.0,28,13.46
193.5,290.2,0.0,185.7,0.0,998.2,704.3,28,32.63
236.0,0.0,0.0,193.0,0.0,968.0,885.0,180,24.1
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,120,40.86
446.0,24.0,79.0,162.0,10.3,967.0,712.0,28,53.39
152.0,0.0,112.0,184.0,8.0,992.0,816.0,28,12.18
250.0,0.0,95.7,187.4,5.5,956.9,861.2,56,38.33
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90,31.25
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270,74.17
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,28,40.23
318.8,212.5,0.0,155.7,14.3,852.1,880.4,3,25.2
475.0,118.8,0.0,181.1,8.9,852.1,781.5,91,74.19
252.3,0.0,98.8,146.3,14.2,987.8,889.0,28,50.6
296.0,0.0,106.7,221.4,10.5,819.2,778.4,28,31.42
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,56,51.43
261.9,110.5,86.1,195.4,5.0,895.2,732.6,28,33.72
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,28,22.49
359.0,19.0,141.0,154.0,10.9,942.0,801.0,56,66.78
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56,58.8
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,7,21.18
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,14,38.77
159.8,250.0,0.0,168.4,12.2,1049.3,688.2,28,39.46
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28,19.77
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.99
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,14,36.99
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,90,40.66
316.1,210.7,0.0,185.7,0.0,977.0,689.3,28,38.7
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,7,12.73
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,7,19.77
491.0,26.0,123.0,210.0,3.9,882.0,699.0,56,59.59
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,19.69
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,28,25.72
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56,63.4
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72
193.5,290.2,0.0,185.7,0.0,998.2,704.3,7,17.2
154.0,174.0,185.0,228.0,7.0,845.0,612.0,28,24.34
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2
134.7,0.0,165.7,180.2,10.0,961.0,804.9,28,13.29
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14,20.92
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
136.0,196.0,98.0,199.0,6.0,847.0,783.0,28,26.97
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,71.99
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,14,33.36
469.0,117.2,0.0,137.8,32.2,852.1,840.5,56,69.3
252.3,0.0,98.8,146.3,14.2,987.8,889.0,3,21.78
236.0,0.0,0.0,194.0,0.0,968.0,885.0,28,18.42
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,14,33.7
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91,66.6
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
236.0,0.0,0.0,194.0,0.0,968.0,885.0,90,21.95
401.8,94.7,0.0,147.4,11.4,946.8,852.1,56,73.7
288.0,192.0,0.0,192.0,0.0,932.0,717.8,7,23.52
222.4,0.0,96.7,189.3,4.5,967.1,870.3,100,40.71
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.43
312.9,160.5,0.0,177.6,9.6,916.6,759.5,28,52.45
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,56,38.56
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.23
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28,37.42
233.8,0.0,94.6,197.9,4.6,947.0,852.2,100,34.56
424.0,22.0,132.0,168.0,8.9,822.0,750.0,56,74.36
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56,71.7
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,56,33.96
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7
522.0,0.0,0.0,146.0,0.0,896.0,896.0,7,50.51
108.3,162.4,0.0,203.5,0.0,938.2,849.0,90,29.23
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3,36.3
305.3,203.5,0.0,203.5,0.0,965.4,631.0,90,54.6
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,56,44.4
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2
322.0,0.0,0.0,203.0,0.0,974.0,800.0,14,20.77
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,100,42.92
238.1,0.0,94.1,186.7,7.0,949.9,847.0,3,19.93
491.0,26.0,123.0,210.0,3.9,882.0,699.0,3,25.61
321.0,0.0,128.0,182.0,11.0,870.0,780.0,28,37.26
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56,55.2
288.4,121.0,0.0,177.4,7.0,907.9,829.5,28,42.14
160.0,250.0,0.0,168.0,12.0,1049.0,688.0,28,39.45
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,3,10.03
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.7
298.2,0.0,107.0,209.7,11.1,879.6,744.2,28,31.88
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28,59.8
143.0,169.0,143.0,191.0,8.0,967.0,643.0,28,29.72
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,41.93
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,7,15.69
260.0,101.0,78.0,171.0,10.0,936.0,763.0,28,49.77
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,7,7.84
262.0,111.0,86.0,195.0,5.0,895.0,733.0,28,33.72
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.52
236.0,157.0,0.0,192.0,0.0,972.6,749.1,3,13.57
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,44.42
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7,17.24
250.2,166.8,0.0,203.5,0.0,977.6,694.1,90,47.71
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,7,21.16
272.6,0.0,89.6,198.7,10.6,931.3,762.2,28,32.25
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.93
212.0,141.3,0.0,203.5,0.0,973.4,750.0,3,6.81
255.0,0.0,0.0,192.0,0.0,889.8,945.0,90,21.86
148.1,0.0,136.6,158.1,16.1,1001.8,830.1,28,17.96
116.0,173.0,0.0,192.0,0.0,909.8,891.9,90,31.02
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,100,45.37
210.7,316.1,0.0,185.7,0.0,977.0,689.3,7,21.82
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,7,18.91
145.4,0.0,178.9,201.7,7.8,824.0,868.7,28,10.54
277.0,116.8,91.0,190.6,7.0,946.5,665.6,28,43.58
331.0,170.0,0.0,195.0,8.0,811.0,802.0,28,56.61
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,51.02
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.56
136.0,162.0,126.0,172.0,10.0,923.0,764.0,28,29.07
424.0,22.0,132.0,168.0,8.9,822.0,750.0,28,72.1
316.1,210.7,0.0,185.7,0.0,977.0,689.3,7,24.44
159.1,186.7,0.0,175.6,11.3,989.6,788.9,28,32.77
397.0,17.2,158.0,167.0,20.8,967.0,633.0,28,55.65
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3,28.6
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.73
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12
295.7,0.0,95.6,171.5,8.9,955.1,859.2,3,22.95
516.0,0.0,0.0,162.0,8.2,801.0,802.0,28,41.37
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,100,43.06
164.2,0.0,200.1,181.2,12.6,849.3,846.0,28,15.09
290.4,0.0,96.2,168.1,9.4,961.2,865.0,56,45.08
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,28,24.9
333.0,17.5,163.0,167.0,17.9,996.0,652.0,28,47.28
202.0,11.0,141.0,206.0,1.7,942.0,801.0,56,23.25
302.0,0.0,0.0,203.0,0.0,974.0,817.0,28,21.75
238.1,0.0,94.1,186.7,7.0,949.9,847.0,56,39.59
339.0,0.0,0.0,197.0,0.0,968.0,781.0,7,20.97
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7,17.44
277.0,0.0,0.0,191.0,0.0,968.0,856.0,14,21.26
228.0,342.1,0.0,185.7,0.0,955.8,674.3,28,39.7
203.5,305.3,0.0,203.5,0.0,963.4,630.0,3,9.56
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,28,25.18
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,14,21.06
153.0,102.0,0.0,192.0,0.0,888.0,943.1,28,17.96
166.8,250.2,0.0,203.5,0.0,975.6,692.6,28,33.95
277.0,0.0,0.0,191.0,0.0,968.0,856.0,3,11.36
333.0,0.0,0.0,192.0,0.0,931.2,842.6,28,31.97
194.7,0.0,100.5,170.2,7.5,998.0,901.8,3,12.18
222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,29.45
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,56,42.7
157.0,236.0,0.0,192.0,0.0,935.4,781.2,28,33.66
313.0,145.0,0.0,178.0,8.0,1002.0,689.0,28,41.05
108.3,162.4,0.0,203.5,0.0,938.2,849.0,7,7.72
234.0,156.0,0.0,189.0,5.9,981.0,760.0,28,39.3
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,29.0
469.0,117.2,0.0,137.8,32.2,852.1,840.5,28,66.9
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,7,10.73
192.0,288.0,0.0,192.0,0.0,929.8,716.1,28,39.32
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,3,12.55
389.9,189.0,0.0,145.9,22.0,944.7,755.8,7,59.09
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,50.7
250.0,0.0,95.7,191.8,5.3,948.9,857.2,28,27.22
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,7,12.05
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56,61.07
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39
375.0,93.8,0.0,126.6,23.4,852.1,992.6,7,45.7
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7,42.8
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,35.96
321.4,0.0,127.9,182.5,11.5,870.1,779.7,28,37.27
326.5,0.0,137.9,199.0,10.8,801.1,792.5,28,38.63
144.8,0.0,133.6,180.8,11.1,979.5,811.5,28,13.2
164.0,163.0,128.0,197.0,8.0,961.0,641.0,28,27.23
307.0,0.0,0.0,193.0,0.0,968.0,812.0,180,34.49
400.0,0.0,0.0,187.0,0.0,1025.0,745.0,28,43.7
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7,54.9
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.02
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
239.6,359.4,0.0,185.7,0.0,941.6,664.3,28,39.44
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,39.0
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,100,59.3
233.8,0.0,94.6,197.9,4.6,947.0,852.2,28,22.84
359.0,19.0,141.0,154.0,10.9,942.0,801.0,28,62.94
135.0,0.0,166.0,180.0,10.0,961.0,805.0,28,13.29
307.0,0.0,0.0,193.0,0.0,968.0,812.0,90,32.92
331.0,0.0,0.0,192.0,0.0,879.0,825.0,3,13.52
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.8
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,56,35.34
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,100,52.96
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,28,24.85
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28,32.72
148.0,0.0,182.0,181.0,15.0,839.0,884.0,28,15.52
305.3,203.5,0.0,203.5,0.0,965.4,631.0,3,14.14
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,28,26.4
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,14,16.88
250.2,166.8,0.0,203.5,0.0,977.6,694.1,3,9.73
322.0,0.0,0.0,203.0,0.0,974.0,800.0,28,25.18
151.8,178.1,138.7,167.5,18.3,944.0,694.6,28,36.35
192.0,288.0,0.0,192.0,0.0,929.8,716.1,7,21.48
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
272.8,105.1,81.8,209.7,9.0,904.0,679.7,28,37.17
400.0,0.0,0.0,187.0,0.0,1025.0,745.0,7,30.14
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,28,32.66
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.91
108.3,162.4,0.0,203.5,0.0,938.2,849.0,28,20.59
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,100,50.08
331.0,0.0,0.0,192.0,0.0,978.0,825.0,28,31.45
238.1,0.0,94.1,186.7,7.0,949.9,847.0,28,30.23
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,100,40.57
355.9,0.0,141.6,193.3,11.0,801.4,778.4,28,40.87
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06
475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28,57.23
236.0,157.0,0.0,192.0,0.0,972.6,749.1,28,32.88
158.0,0.0,195.0,220.0,11.0,898.0,713.0,28,8.54
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,56,51.26
287.0,121.0,94.0,188.0,9.0,904.0,696.0,28,41.94
140.0,164.0,128.0,237.0,6.0,869.0,656.0,28,35.23
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85
305.3,203.5,0.0,203.5,0.0,965.4,631.0,7,25.89
475.0,118.8,0.0,181.1,8.9,852.1,781.5,7,55.6
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22
190.0,190.0,0.0,228.0,0.0,932.0,670.0,28,40.86
122.6,183.9,0.0,203.5,0.0,958.2,800.1,90,33.19
277.1,0.0,97.4,160.6,11.8,973.9,875.6,100,55.64
152.0,178.0,139.0,168.0,18.0,944.0,695.0,28,36.35
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,100,37.96
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91,75.5
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,37.8
350.0,0.0,0.0,203.0,0.0,974.0,775.0,14,22.53
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,100,40.15
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,56,31.54
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,14,25.37
424.0,22.0,132.0,178.0,8.5,822.0,750.0,56,65.7
401.8,94.7,0.0,147.4,11.4,946.8,852.1,28,68.5
280.0,129.0,100.0,172.0,9.0,825.0,805.0,28,52.82
393.0,0.0,0.0,192.0,0.0,940.6,785.6,28,39.6
322.0,0.0,0.0,203.0,0.0,974.0,800.0,180,29.59
254.0,0.0,0.0,198.0,0.0,968.0,863.0,180,27.63
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56,64.9
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28,55.5
355.0,19.0,97.0,145.0,13.1,967.0,871.0,28,44.03
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,3,11.85
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.13
200.0,133.0,0.0,192.0,0.0,965.4,806.2,7,17.17
133.1,210.2,0.0,195.7,3.1,949.4,795.3,28,28.94
334.0,17.6,158.0,189.0,15.3,967.0,633.0,28,44.33
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,56,43.5
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.05
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,100,46.23
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,3,10.76
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4
148.0,175.0,0.0,171.0,2.0,1000.0,828.0,28,26.92
385.0,0.0,0.0,186.0,0.0,966.0,763.0,3,14.7
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,56,35.57
250.0,0.0,95.7,191.8,5.3,948.9,857.2,100,41.16
200.0,133.0,0.0,192.0,0.0,965.4,806.2,28,30.44
252.3,0.0,98.8,146.3,14.2,987.8,889.0,100,60.95
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
236.0,0.0,0.0,193.0,0.0,968.0,885.0,7,9.99
152.6,238.7,0.0,200.0,6.3,1001.8,683.9,28,26.86
469.0,117.2,0.0,137.8,32.2,852.1,840.5,91,70.7
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28,49.9
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,3,33.8
160.0,188.0,146.0,203.0,11.0,829.0,710.0,28,32.84
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,56,36.3
149.0,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56,59.89
387.0,20.0,94.0,157.0,14.3,938.0,845.0,56,56.34
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
102.0,153.0,0.0,192.0,0.0,887.0,942.0,90,25.46
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,3,17.57
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.62
159.0,149.0,116.0,175.0,15.0,953.0,720.0,28,27.68
322.0,149.0,0.0,186.0,8.0,951.0,709.0,28,52.42
266.0,112.0,87.0,178.0,10.0,910.0,745.0,28,39.42
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,14,20.73
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28,33.08
273.0,0.0,90.0,199.0,11.0,931.0,762.0,28,32.24
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.23
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3,15.04
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,3,15.44
132.0,207.0,161.0,179.0,5.0,867.0,736.0,28,33.3
350.0,0.0,0.0,203.0,0.0,974.0,775.0,90,31.35
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28,21.65
159.0,209.0,161.0,201.0,7.0,848.0,669.0,28,30.88
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3
295.7,0.0,95.6,171.5,8.9,955.1,859.2,28,39.94
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,7,26.06
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,7,11.48
303.6,139.9,0.0,213.5,6.2,895.5,722.5,28,33.42
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.14
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.3
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,28,40.15
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,3,13.12
298.1,0.0,107.0,186.4,6.1,879.0,815.2,28,42.64
374.3,0.0,0.0,190.2,6.7,1013.2,730.4,28,39.06
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,3,9.45
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28,56.4
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,28,34.29
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28,17.34
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3,12.47
252.3,0.0,98.8,146.3,14.2,987.8,889.0,14,42.29
298.0,0.0,107.0,164.0,13.0,953.0,784.0,28,35.86
297.0,0.0,0.0,186.0,0.0,1040.0,734.0,7,30.96
313.0,0.0,113.0,178.0,8.0,1002.0,689.0,28,36.8
157.0,236.0,0.0,192.0,0.0,935.4,781.2,3,9.69
157.0,236.0,0.0,192.0,0.0,935.4,781.2,7,16.89
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3,15.62
132.0,206.5,160.9,178.9,5.5,866.9,735.6,28,33.31
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.08
154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28,18.29
439.0,177.0,0.0,186.0,11.1,884.9,707.9,91,73.3
151.0,0.0,184.0,167.0,12.0,991.0,772.0,28,15.57
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,14,24.99
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.36
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90,48.85
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26
297.8,137.2,106.9,201.3,6.0,878.4,655.3,28,53.52
322.0,0.0,116.0,196.0,10.0,818.0,813.0,28,31.18
480.0,0.0,0.0,192.0,0.0,936.2,712.2,90,54.32
298.0,0.0,107.0,186.0,6.0,879.0,815.0,28,42.64
491.0,26.0,123.0,201.0,3.9,822.0,699.0,3,29.55
277.1,0.0,97.4,160.6,11.8,973.9,875.6,56,51.04
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1,12.64
116.0,173.0,0.0,192.0,0.0,909.8,891.9,3,6.28
250.0,0.0,95.7,187.4,5.5,956.9,861.2,3,13.82
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15
310.0,0.0,0.0,192.0,0.0,970.0,850.0,28,27.92
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61
385.0,0.0,136.0,158.0,20.0,903.0,768.0,28,55.55
250.0,0.0,95.7,187.4,5.5,956.9,861.2,100,42.35
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72
158.6,148.9,116.0,175.1,15.0,953.3,719.7,28,27.68
160.0,128.0,122.0,182.0,6.4,824.0,879.0,28,39.4
387.0,20.0,94.0,157.0,11.6,938.0,845.0,7,41.67
310.0,142.8,0.0,167.9,10.0,914.3,804.0,28,45.3
